passerbyid,date,passresp1,passresp2,passresp3,passresp4,passresp5,metro
1,5/19/2017,0,0,1,1,1,Archives
2,5/19/2017,0,1,0,0,0,Archives
3,5/19/2017,0,0,1,1,0,Archives
4,5/19/2017,1,0,0,0,0,Archives
5,6/27/2017,0,0,1,1,1,Archives
6,6/27/2017,0,0,1,1,1,Archives
7,6/27/2017,0,1,0,0,0,Archives
8,6/27/2017,0,1,0,0,0,Archives
9,6/27/2017,0,0,1,1,1,Archives
10,6/30/2017,0,0,1,1,1,Archives
11,6/30/2017,0,1,0,0,0,Archives
12,6/30/2017,0,0,1,1,1,Archives
13,6/30/2017,1,0,0,0,0,Archives
14,6/30/2017,0,0,1,1,0,Archives
15,6/30/2017,1,0,0,0,0,Archives
16,3/22/2017,1,0,0,0,0,Ballston
17,3/22/2017,0,0,1,0,0,Ballston
18,3/22/2017,0,1,0,0,0,Ballston
19,3/22/2017,0,0,1,1,1,Ballston
20,3/22/2017,0,0,1,1,1,Ballston
21,3/22/2017,0,0,1,1,0,Ballston
22,4/21/2017,0,0,1,0,0,Ballston
23,4/21/2017,1,0,0,0,0,Ballston
24,4/21/2017,0,0,1,1,1,Ballston
25,4/21/2017,1,0,0,0,0,Ballston
26,4/21/2017,0,1,0,0,0,Ballston
27,4/21/2017,0,0,1,1,0,Ballston
28,4/21/2017,0,0,1,1,1,Ballston
29,6/16/2017,0,0,1,1,1,Ballston
30,6/16/2017,0,0,1,1,0,Ballston
31,6/16/2017,1,0,0,0,0,Ballston
32,6/16/2017,0,1,0,0,0,Ballston
33,6/16/2017,0,0,1,1,0,Ballston
34,6/26/2017,0,0,1,1,0,Ballston
35,6/26/2017,1,0,0,0,0,Ballston
36,6/26/2017,0,0,1,1,0,Ballston
37,6/26/2017,1,0,0,0,0,Ballston
38,3/20/2017,0,1,0,0,0,Farragut North
39,3/20/2017,0,0,1,1,1,Farragut North
40,3/20/2017,1,0,0,0,0,Farragut North
41,3/20/2017,0,0,1,0,0,Farragut North
42,3/27/2017,0,1,0,0,0,Farragut North
43,3/27/2017,0,0,1,1,0,Farragut North
44,3/27/2017,0,0,1,0,0,Farragut North
45,5/8/2017,1,0,0,0,0,Farragut North
46,5/8/2017,0,0,1,1,0,Farragut North
47,5/8/2017,0,0,1,1,1,Farragut North
48,5/8/2017,0,1,0,0,0,Farragut North
49,6/14/2017,0,0,1,1,0,Farragut North
50,6/14/2017,0,0,1,1,0,Farragut North
51,6/14/2017,0,0,1,0,0,Farragut North
52,6/14/2017,0,0,1,1,1,Farragut North
53,6/20/2017,0,0,1,1,0,Farragut North
54,6/20/2017,0,0,1,1,1,Farragut North
55,6/20/2017,1,0,0,0,0,Farragut North
56,6/20/2017,1,0,0,0,0,Farragut North
57,6/20/2017,0,1,0,0,0,Farragut North
58,3/27/2017,0,0,1,1,1,Farragut West
59,3/27/2017,0,0,1,0,0,Farragut West
60,3/27/2017,0,1,0,0,0,Farragut West
61,3/27/2017,0,0,1,1,0,Farragut West
62,3/27/2017,1,0,0,0,0,Farragut West
63,4/24/2017,1,0,0,0,0,Farragut West
64,4/24/2017,1,0,0,0,0,Farragut West
65,4/24/2017,0,0,1,1,1,Farragut West
66,4/24/2017,0,0,1,0,0,Farragut West
67,5/8/2017,0,0,1,1,0,Farragut West
68,5/8/2017,1,0,0,0,0,Farragut West
69,5/8/2017,1,0,0,0,0,Farragut West
70,5/8/2017,0,0,1,1,1,Farragut West
71,5/8/2017,0,1,0,0,0,Farragut West
72,5/8/2017,0,0,1,1,0,Farragut West
73,6/14/2017,0,0,1,1,0,Farragut West
74,6/14/2017,1,0,0,0,0,Farragut West
75,6/14/2017,0,0,1,0,0,Farragut West
76,6/14/2017,1,0,0,0,0,Farragut West
77,6/20/2017,1,0,0,0,0,Farragut West
78,6/20/2017,0,0,1,1,1,Farragut West
79,6/20/2017,0,0,1,1,1,Farragut West
80,6/20/2017,0,0,1,1,1,Farragut West
81,6/20/2017,0,0,1,1,0,Farragut West
82,3/24/2017,0,0,1,1,0,Federal Triangle
83,3/24/2017,0,1,0,0,0,Federal Triangle
84,3/24/2017,0,0,1,1,0,Federal Triangle
85,3/24/2017,1,0,0,0,0,Federal Triangle
86,3/24/2017,0,0,1,1,1,Federal Triangle
87,3/24/2017,0,0,1,1,0,Federal Triangle
88,4/1/2017,1,0,0,0,0,Federal Triangle
89,4/1/2017,0,1,0,0,0,Federal Triangle
90,4/1/2017,0,0,1,1,1,Federal Triangle
91,4/1/2017,0,0,1,1,0,Federal Triangle
92,4/1/2017,0,1,0,0,0,Federal Triangle
93,4/1/2017,0,0,1,1,1,Federal Triangle
94,5/1/2017,0,1,0,0,0,Federal Triangle
95,5/1/2017,1,0,0,0,0,Federal Triangle
96,5/1/2017,0,1,0,0,0,Federal Triangle
97,5/1/2017,0,0,1,1,1,Federal Triangle
98,5/1/2017,1,0,0,0,0,Federal Triangle
99,5/9/2017,0,0,1,1,1,Federal Triangle
100,5/9/2017,1,0,0,0,0,Federal Triangle
101,5/9/2017,0,0,1,1,0,Federal Triangle
102,5/9/2017,0,1,0,0,0,Federal Triangle
103,6/30/2017,0,0,1,1,1,Federal Triangle
104,6/30/2017,0,0,1,1,1,Federal Triangle
105,6/30/2017,0,1,0,0,0,Federal Triangle
106,6/30/2017,0,1,0,0,0,Federal Triangle
107,5/8/2017,0,0,1,1,0,Foggy Bottom
108,5/8/2017,0,0,1,1,1,Foggy Bottom
109,5/8/2017,0,0,1,1,0,Foggy Bottom
110,5/8/2017,0,1,0,0,0,Foggy Bottom
111,5/8/2017,1,0,0,0,0,Foggy Bottom
112,5/8/2017,0,0,1,1,0,Foggy Bottom
113,5/17/2017,1,0,0,0,0,Foggy Bottom
114,5/17/2017,0,0,1,1,0,Foggy Bottom
115,5/17/2017,0,0,1,1,1,Foggy Bottom
116,5/17/2017,0,0,1,1,1,Foggy Bottom
117,5/17/2017,1,0,0,0,0,Foggy Bottom
118,5/17/2017,0,0,1,1,1,Foggy Bottom
119,5/17/2017,1,0,0,0,0,Foggy Bottom
120,6/14/2017,0,1,0,0,0,Foggy Bottom
