metro,date,panhandlers
Archives,5/15/2017,4
Archives,5/19/2017,0
Archives,6/16/2017,0
Archives,6/19/2017,0
Archives,6/23/2017,0
Archives,6/27/2017,1
Archives,6/30/2017,0
Ballston,10/17/2016,1
Ballston,10/31/2016,1
Ballston,10/9/2016,1
Ballston,11/7/2016,1
Ballston,12/1/2016,1
Ballston,12/8/2016,1
Ballston,3/22/2017,1
Ballston,4/21/2017,3
Ballston,5/10/2017,1
Ballston,6/16/2017,0
Ballston,6/26/2017,1
Dupont Circle,10/26/2017,0
Dupont Circle,10/30/2017,0
Dupont Circle,11/1/2017,0
Dupont Circle,5/10/2017,0
Dupont Circle,5/19/2017,0
Dupont Circle,6/26/2017,0
Farragut North,10/20/2016,1
Farragut North,10/31/2016,1
Farragut North,11/10/2016,1
Farragut North,11/3/2016,1
Farragut North,2/12/2017,1
Farragut North,2/24/2017,3
Farragut North,3/13/2017,3
Farragut North,3/20/2017,1
Farragut North,3/27/2017,1
Farragut North,4/24/2017,0
Farragut North,5/17/2017,1
Farragut North,5/8/2017,5
Farragut North,6/14/2017,0
Farragut North,6/20/2017,0
Farragut North,6/28/2017,1
Farragut West,10/13/2016,1
Farragut West,10/17/2016,2
Farragut West,10/20/2016,0
Farragut West,11/10/2016,2
Farragut West,11/17/2016,1
Farragut West,11/21/2016,1
Farragut West,11/3/2016,1
Farragut West,11/7/2016,1
Farragut West,12/1/2016,2
Farragut West,2/12/2017,2
Farragut West,2/24/2017,1
Farragut West,3/20/2017,1
Farragut West,3/27/2017,1
Farragut West,4/24/2017,1
Farragut West,5/17/2017,2
Farragut West,5/8/2017,3
Farragut West,6/14/2017,0
Farragut West,6/20/2017,1
Farragut West,6/28/2017,1
Federal Center,10/26/2017,0
Federal Center,10/30/2017,0
Federal Center,11/1/2017,0
Federal Center,5/1/2017,1
Federal Center,5/15/2017,0
Federal Center,5/9/2017,1
Federal Triangle,3/24/2017,1
Federal Triangle,4/1/2017,1
Federal Triangle,4/3/2017,0
