metro,servicemin,closestservice,googledirections
Archives,8,"Chinatown Walk-In Shelter, 441 4th St NW",https://goo.gl/maps/hsqjX3bA3FoPgha3A
Arlington Cemetery,66,"Miriam's Kitchen, 2401 Virginia Ave NW, Washington, DC 20037",https://goo.gl/maps/X2fwtWUEZiLiiTeY6
Ballston,20,"Bridges to Independence, 3103 9th Rd N #2125, Arlington, VA 22201",https://goo.gl/maps/6dztWfk7iWm7UnmBA
Capital South,14,"Community Partnership Prevention, 801 Pennsylvania Ave. SE UNIT 360, Washington, DC 20003",https://goo.gl/maps/V5j7HqVhzrcVUa2v5
Clarendon,5,"Bridges to Independence, 3103 9th Rd N #2125, Arlington, VA 22201",https://goo.gl/maps/fLMRT9mbwAgZuVY58
Courthouse,4,"Arlington Street People's Assistance Network, 2020A 14th St N, Arlington, VA 22201",https://goo.gl/maps/wD4XE6Maha8ZbzmeA
Crystal City,39,"Arlington RPC, 1554 Columbia Pike, Arlington, VA 22204",https://goo.gl/maps/Ft18SrahPNAykngh7
Dupont Circle,6,"National Coalition for the Homeless,  2201 P St NW, Washington, DC 20037",https://goo.gl/maps/Lwr8syvgu4mF3TQj6
Farragut North,12,"Franklin Square, 1332 I St NW, Washington, DC 20005",https://goo.gl/maps/LYerX95o7xqG2AAp8
Farragut West,9,"Franklin Square, 1332 I St NW, Washington, DC 20005",https://goo.gl/maps/iT2Gs1qek8DqbXcU7
Federal Center,16,"Chinatown Walk-In Shelter, 441 4th St NW",https://goo.gl/maps/8hUZJKCyEEoT6f557
Federal Triangle,17,"Chinatown Walk-In Shelter, 441 4th St NW",https://goo.gl/maps/a3ZJqg8GL8xYaHo99
Foggy Bottom,3,"Miriam's Kitchen, 2401 Virginia Ave NW, Washington, DC 20037",https://goo.gl/maps/nk1U13bP2M7qB8C96
Gallery Place,8,"Chinatown Walk-In Shelter, 441 4th St NW",https://goo.gl/maps/XDWSZz7e3d6DsPTC6
Georgetown,2,"Georgetown Ministry Center, 1041 Wisconsin Ave NW, Washington, DC 20007",https://goo.gl/maps/uMY51MAQLznjXAT38
L'Enfant Plaza,18,"Chinatown Walk-In Shelter, 441 4th St NW",https://goo.gl/maps/fsBufnevDTVKQP1YA
McPherson Square,1,"Franklin Square, 1332 I St NW, Washington, DC 20005",https://goo.gl/maps/ZMSoJFoKmiH5UB9H8
Metro Center,16,"Luther Place Night Shelter, 1226 Vermont Ave NW, Washington, DC 20005",https://goo.gl/maps/5Hr66wUqW9SWC2sC9
Navy Yard,21,"Community Partnership Prevention, 801 Pennsylvania Ave. SE UNIT 360, Washington, DC 20003",https://goo.gl/maps/3ieYALP1SacCooUu8
Pentagon,28,"Arlington RPC, 1554 Columbia Pike, Arlington, VA 22204",https://goo.gl/maps/uRsqGAsispVtNpeU6
Pentagon City,26,"Arlington RPC, 1554 Columbia Pike, Arlington, VA 22204",https://goo.gl/maps/3DqFKQxx848HhfF39
Rosslyn,21,"Arlington Street People's Assistance Network, 2020A 14th St N, Arlington, VA 22201",https://goo.gl/maps/FbsRRnyVnTTzs7687
Smithsonian,20,"Chinatown Walk-In Shelter, 441 4th St NW",https://goo.gl/maps/PRcDRHiWeBKH7qMY8
Vienna,27,"The Lamb Center, 3160 Campbell Dr, Fairfax, VA 22031",https://goo.gl/maps/o4WKY1pukuPat4TP7
Virginia Square,12,"Bridges to Independence, 3103 9th Rd N #2125, Arlington, VA 22201",https://goo.gl/maps/kYDuiNYvPLb6TqFh9
Waterfront,34,"Community Partnership Prevention, 801 Pennsylvania Ave. SE UNIT 360, Washington, DC 20003",https://goo.gl/maps/3wHj4z9GM5JDPBUP6
